iter	Passed	Remaining
0	1	153
1	3	159
2	4	152
3	5	140
4	7	137
5	8	139
6	10	145
7	12	148
8	15	151
9	17	161
10	20	165
11	22	165
12	24	164
13	26	163
14	28	163
15	31	163
16	33	161
17	34	157
18	35	153
19	37	149
20	38	144
21	39	140
22	41	137
23	42	133
24	43	130
25	44	127
26	46	125
27	47	122
28	48	119
29	49	116
30	51	114
31	52	111
32	53	108
33	54	105
34	55	102
35	56	100
36	57	97
37	58	95
38	59	92
39	60	90
40	61	88
41	62	86
42	63	84
43	65	83
44	66	81
45	67	79
46	68	77
47	71	77
48	72	75
49	73	73
50	76	73
51	77	71
52	80	71
53	82	70
54	83	68
55	85	66
56	87	66
57	90	65
58	92	64
59	94	62
60	95	61
61	97	59
62	98	57
63	99	56
64	101	54
65	102	52
66	105	52
67	108	50
68	109	49
69	112	48
70	113	46
71	114	44
72	116	42
73	119	41
74	120	40
75	121	38
76	123	36
77	125	35
78	127	33
79	128	32
80	129	30
81	130	28
82	132	27
83	134	25
84	135	23
85	136	22
86	138	20
87	139	19
88	140	17
89	141	15
90	143	14
91	144	12
92	145	10
93	147	9
94	148	7
95	150	6
96	151	4
97	152	3
98	153	1
99	154	0
